# Ethyl Acetate  CAS 141-78-6
# source: NIST WebBook / Sadtler Research Labs Under US-EPA Contract
# STATE=gas  YUNITS=ABSORBANCE
# NOT QUANTITATIVE: no path length or concentration given.
# Absorbance scale is arbitrary -> positions and shapes only.
wavenumber_cm-1,absorbance_arbitrary
1538.0,2.158920e-02
1542.0,2.014992e-02
1546.0,2.194902e-02
1550.0,2.500749e-02
1554.0,2.446776e-02
1558.0,2.230884e-02
1562.0,2.374812e-02
1566.0,2.374812e-02
1570.0,2.194902e-02
1574.0,2.014992e-02
1578.0,1.853073e-02
1582.0,1.691154e-02
1586.0,1.727136e-02
1590.0,1.583208e-02
1594.0,1.475262e-02
1598.0,1.367316e-02
1602.0,1.457271e-02
1606.0,1.457271e-02
1610.0,1.547226e-02
1614.0,1.511244e-02
1618.0,1.475262e-02
1622.0,1.511244e-02
1626.0,1.421289e-02
1630.0,1.547226e-02
1634.0,1.475262e-02
1638.0,1.439280e-02
1642.0,1.655172e-02
1646.0,1.583208e-02
1650.0,1.385307e-02
1654.0,1.511244e-02
1658.0,1.781109e-02
1662.0,1.781109e-02
1666.0,1.871064e-02
1670.0,1.943028e-02
1674.0,1.853073e-02
1678.0,2.230884e-02
1682.0,2.158920e-02
1686.0,2.410794e-02
1690.0,2.914542e-02
1694.0,3.238380e-02
1698.0,3.220389e-02
1702.0,3.652173e-02
1706.0,4.173912e-02
1710.0,4.911543e-02
1714.0,5.631183e-02
1718.0,6.602697e-02
1722.0,8.761617e-02
1726.0,1.226986e-01
1730.0,1.714542e-01
1734.0,2.394602e-01
1738.0,3.421888e-01
1742.0,4.796401e-01
1746.0,6.624286e-01
1750.0,8.795800e-01
1754.0,1.072803e+00
1758.0,1.135412e+00
1762.0,1.039520e+00
1766.0,1.058950e+00
1770.0,1.202159e+00
1774.0,1.088635e+00
1778.0,8.203896e-01
1782.0,5.830883e-01
1786.0,3.986806e-01
1790.0,2.668065e-01
1794.0,1.671364e-01
1798.0,1.014692e-01
1802.0,6.116940e-02
1806.0,4.371813e-02
1810.0,3.418290e-02
1814.0,2.914542e-02
1818.0,2.788605e-02
1822.0,2.608695e-02
1826.0,2.554722e-02
1830.0,2.338830e-02
1834.0,2.428785e-02
1838.0,2.428785e-02
1842.0,2.194902e-02
1846.0,2.014992e-02
1850.0,1.997001e-02
1854.0,1.979010e-02
1858.0,1.799100e-02
1862.0,1.709145e-02
1866.0,1.565217e-02
1870.0,1.457271e-02
1874.0,1.547226e-02
1878.0,1.637181e-02
1882.0,1.637181e-02
1886.0,1.655172e-02
1890.0,1.547226e-02
1894.0,1.457271e-02
1898.0,1.493253e-02
1902.0,1.385307e-02
1906.0,1.295352e-02
1910.0,1.151424e-02
1914.0,9.715140e-03
1918.0,8.275860e-03
1922.0,7.016490e-03
1926.0,7.196400e-03
1930.0,6.656670e-03
1934.0,6.836580e-03
1938.0,6.296850e-03
1942.0,6.116940e-03
1946.0,5.937030e-03
1950.0,5.757120e-03
1954.0,5.757120e-03
1958.0,5.577210e-03
1962.0,5.577210e-03
1966.0,4.857570e-03
