# Methyl Salicylate  CAS 119-36-8
# source: NIST WebBook / Sadtler Research Labs Under US-EPA Contract
# STATE=gas  YUNITS=ABSORBANCE
# NOT QUANTITATIVE: no path length or concentration given.
# Absorbance scale is arbitrary -> positions and shapes only.
wavenumber_cm-1,absorbance_arbitrary
450.0,5.937935e-02
454.0,2.327565e-02
458.0,5.422168e-03
462.0,1.745674e-02
466.0,1.137333e-02
470.0,1.719224e-02
474.0,9.654104e-03
478.0,1.930821e-02
482.0,2.539162e-02
486.0,2.618510e-02
490.0,3.200402e-02
494.0,3.769068e-02
498.0,3.874866e-02
502.0,3.610370e-02
506.0,3.967440e-02
510.0,4.694804e-02
514.0,6.268555e-02
518.0,8.344849e-02
522.0,9.548306e-02
526.0,1.073854e-01
530.0,1.120141e-01
534.0,9.032538e-02
538.0,5.435393e-02
542.0,4.364184e-02
546.0,2.843332e-02
550.0,2.962355e-02
554.0,2.816882e-02
558.0,3.821967e-02
562.0,3.160727e-02
566.0,3.623595e-02
570.0,3.121053e-02
574.0,2.525937e-02
578.0,1.996945e-02
582.0,1.401829e-02
586.0,2.486262e-02
590.0,7.538136e-03
594.0,1.322480e-02
598.0,1.877922e-02
602.0,2.208542e-02
606.0,2.393689e-02
610.0,2.658185e-02
614.0,3.121053e-02
618.0,3.160727e-02
622.0,3.345874e-02
626.0,3.319425e-02
630.0,2.684634e-02
634.0,2.049844e-02
638.0,2.354014e-02
642.0,1.944046e-02
646.0,1.944046e-02
650.0,1.983720e-02
654.0,3.372324e-02
658.0,5.541191e-02
662.0,8.649019e-02
666.0,1.079144e-01
670.0,1.175685e-01
674.0,1.153203e-01
678.0,9.111887e-02
682.0,1.039469e-01
686.0,1.208747e-01
690.0,1.590943e-01
694.0,1.930821e-01
698.0,2.471715e-01
702.0,2.991450e-01
706.0,2.962355e-01
710.0,2.498165e-01
714.0,2.330210e-01
718.0,1.827667e-01
722.0,1.310578e-01
726.0,8.741593e-02
730.0,6.056958e-02
734.0,5.488292e-02
738.0,7.683609e-02
742.0,1.313223e-01
746.0,2.045877e-01
750.0,2.721664e-01
754.0,4.201519e-01
758.0,3.909251e-01
762.0,2.553709e-01
766.0,1.926853e-01
770.0,1.179652e-01
774.0,5.316370e-02
778.0,2.711084e-02
782.0,1.481178e-02
786.0,1.983720e-02
790.0,2.168867e-02
794.0,2.248216e-02
798.0,2.803658e-02
802.0,3.438448e-02
806.0,2.790433e-02
810.0,2.327565e-02
814.0,2.063069e-02
818.0,1.666325e-02
822.0,1.190232e-02
826.0,1.084434e-02
830.0,1.190232e-02
834.0,2.420138e-02
838.0,4.628680e-02
842.0,8.794492e-02
846.0,1.113528e-01
850.0,1.068564e-01
854.0,1.190232e-01
858.0,9.495406e-02
862.0,6.638850e-02
866.0,4.589006e-02
870.0,3.081378e-02
874.0,2.486262e-02
878.0,1.560526e-02
882.0,9.125112e-03
886.0,6.215656e-03
890.0,3.835192e-03
894.0,2.777208e-03
898.0,2.777208e-03
902.0,4.893176e-03
906.0,5.686664e-03
910.0,6.347904e-03
914.0,5.686664e-03
918.0,3.702944e-03
922.0,2.777208e-03
926.0,1.586976e-03
930.0,1.454728e-03
934.0,5.289920e-04
938.0,2.380464e-03
942.0,3.835192e-03
946.0,7.538136e-03
950.0,1.415054e-02
954.0,1.944046e-02
958.0,2.340790e-02
962.0,3.081378e-02
966.0,3.742618e-02
970.0,4.112913e-02
974.0,3.888091e-02
978.0,3.226851e-02
982.0,2.274666e-02
986.0,1.177007e-02
990.0,5.289920e-03
994.0,3.173952e-03
998.0,2.777208e-03
1002.0,3.041704e-03
1006.0,3.702944e-03
1010.0,6.612400e-03
1014.0,1.163782e-02
1018.0,2.248216e-02
1022.0,3.967440e-02
1026.0,6.295005e-02
1030.0,7.789407e-02
1034.0,7.815857e-02
1038.0,7.458787e-02
1042.0,5.792462e-02
1046.0,3.425223e-02
1050.0,2.142418e-02
1054.0,1.825022e-02
1058.0,1.864697e-02
1062.0,2.287890e-02
1066.0,3.094603e-02
1070.0,4.694804e-02
1074.0,8.001004e-02
1078.0,1.467953e-01
1082.0,2.551064e-01
1086.0,3.691042e-01
1090.0,4.142007e-01
1094.0,3.996535e-01
1098.0,3.146180e-01
1102.0,1.704677e-01
1106.0,9.111887e-02
1110.0,8.291950e-02
1114.0,8.979639e-02
1118.0,1.105593e-01
1122.0,1.425633e-01
1126.0,1.881889e-01
1130.0,2.405591e-01
1134.0,2.748113e-01
1138.0,2.660830e-01
1142.0,2.424106e-01
1146.0,2.225734e-01
1150.0,3.103861e-01
1154.0,5.250246e-01
1158.0,6.009349e-01
1162.0,6.137630e-01
1166.0,6.145565e-01
1170.0,3.851062e-01
1174.0,2.827462e-01
1178.0,2.699182e-01
1182.0,2.708439e-01
1186.0,2.752081e-01
1190.0,2.917391e-01
1194.0,3.316780e-01
1198.0,4.186972e-01
1202.0,5.547804e-01
1206.0,7.362246e-01
1210.0,9.295712e-01
1214.0,9.652782e-01
1218.0,9.462344e-01
1222.0,8.498256e-01
1226.0,6.351871e-01
1230.0,4.948720e-01
1234.0,4.421051e-01
1238.0,4.320542e-01
1242.0,4.637937e-01
1246.0,5.656247e-01
1250.0,7.133457e-01
1254.0,7.339764e-01
1258.0,6.961535e-01
1262.0,5.984222e-01
1266.0,3.799485e-01
1270.0,2.524614e-01
1274.0,2.224411e-01
1278.0,2.328887e-01
1282.0,2.426751e-01
1286.0,2.540484e-01
1290.0,3.028479e-01
1294.0,4.233258e-01
1298.0,6.946987e-01
1302.0,1.066580e+00
1306.0,1.272226e+00
1310.0,1.322480e+00
1314.0,1.176478e+00
1318.0,8.671501e-01
1322.0,6.961535e-01
1326.0,6.783000e-01
1330.0,6.831932e-01
1334.0,6.279135e-01
1338.0,5.401008e-01
1342.0,4.565201e-01
1346.0,3.442415e-01
1350.0,2.322275e-01
1354.0,1.534077e-01
1358.0,1.100303e-01
1362.0,9.442507e-02
1366.0,8.847391e-02
1370.0,8.939965e-02
1374.0,9.680554e-02
1378.0,1.051372e-01
1382.0,1.165105e-01
1386.0,1.381992e-01
1390.0,1.604168e-01
1394.0,1.838247e-01
1398.0,2.055134e-01
1402.0,2.155642e-01
1406.0,2.183414e-01
1410.0,2.110678e-01
1414.0,1.912306e-01
1418.0,1.733771e-01
1422.0,1.404474e-01
1426.0,1.177007e-01
1430.0,1.196844e-01
1434.0,1.817088e-01
1438.0,3.208336e-01
1442.0,4.553299e-01
1446.0,5.147092e-01
1450.0,5.084936e-01
1454.0,3.630208e-01
1458.0,2.447910e-01
1462.0,2.348724e-01
1466.0,2.437331e-01
1470.0,2.708439e-01
1474.0,3.278428e-01
1478.0,3.788905e-01
1482.0,4.555944e-01
1486.0,4.451468e-01
1490.0,4.118203e-01
1494.0,3.919831e-01
1498.0,2.806303e-01
1502.0,1.867342e-01
1506.0,1.434891e-01
1510.0,1.191554e-01
1514.0,1.047404e-01
1518.0,8.225826e-02
1522.0,6.823997e-02
1526.0,5.250246e-02
1530.0,4.827052e-02
1534.0,4.324510e-02
1538.0,4.258386e-02
1542.0,4.628680e-02
1546.0,4.364184e-02
1550.0,4.086463e-02
1554.0,4.443533e-02
1558.0,5.554416e-02
1562.0,5.752788e-02
1566.0,6.559501e-02
1570.0,8.728368e-02
1574.0,1.210069e-01
1578.0,1.666325e-01
1582.0,2.131838e-01
1586.0,2.302438e-01
1590.0,2.422783e-01
1594.0,2.328887e-01
1598.0,1.918918e-01
1602.0,1.666325e-01
1606.0,1.832957e-01
1610.0,2.359304e-01
1614.0,2.995417e-01
1618.0,3.324715e-01
1622.0,3.045671e-01
1626.0,2.453200e-01
1630.0,1.579041e-01
1634.0,9.773127e-02
1638.0,7.458787e-02
1642.0,7.009144e-02
1646.0,7.511686e-02
1650.0,8.794492e-02
1654.0,9.720228e-02
1658.0,1.039469e-01
1662.0,1.145268e-01
1666.0,1.325125e-01
1670.0,1.617393e-01
1674.0,2.138450e-01
1678.0,2.974258e-01
1682.0,4.460725e-01
1686.0,6.656042e-01
1690.0,9.277197e-01
1694.0,1.188381e+00
1698.0,1.322216e+00
1702.0,1.258604e+00
1706.0,1.076499e+00
1710.0,7.609550e-01
1714.0,4.721254e-01
1718.0,2.655540e-01
1722.0,1.441503e-01
1726.0,8.212601e-02
1730.0,5.911486e-02
1734.0,5.316370e-02
1738.0,4.985750e-02
1742.0,5.937935e-02
1746.0,8.014229e-02
1750.0,9.521856e-02
1754.0,9.244135e-02
1758.0,9.389608e-02
1762.0,7.974554e-02
1766.0,5.422168e-02
1770.0,4.350959e-02
1774.0,3.583921e-02
1778.0,2.618510e-02
1782.0,2.261441e-02
1786.0,1.825022e-02
1790.0,1.626650e-02
1794.0,1.679550e-02
1798.0,1.613426e-02
1802.0,2.036619e-02
1806.0,2.089518e-02
1810.0,2.327565e-02
